The Wrekin|Liberal Democrats |Anthony Lowe|None|4,757|9.5|+1.5
North Shropshire|Liberal Democrats |Helen Morgan |winning|26,214|52.9|+42.5
Shrewsbury|Liberal Democrats |Alex Wagner|None|6,722|13.0|0
South Shropshire|Liberal Democrats |Matthew Green |None|||0
Telford|Liberal Democrats |Jo McKenna|None|1,560|3.8|-2.4
Kingswinford and South Staffordshire|Liberal Democrats |Gully Bansal|None|||0
Burton and Uttoxeter|Liberal Democrats |Sarah Murray|None|1,663|3.6|-1.9
Cannock Chase|Liberal Democrats |Elizabeth Jewkes|None|||
Lichfield|Liberal Democrats |Paul Ray|None|810|1.64|42.06
Newcastle|Liberal Democrats |Nigel Jones|None|1,987|5.0|-0.6
Stafford|Liberal Democrats |Peter Andras|None|1,676|3.6|-2.8
Staffordshire Moorlands|Liberal Democrats |Graham Oakes|None|||
Stoke|Liberal Democrats |Laura McCarthy|None|999|2.8|
Stoke|Liberal Democrats |Lucy Hurds|None|911|2.5|-0.8
Stoke|Liberal Democrats |Alec Sandiford|None|||
Tamworth|Liberal Democrats |Jed Marson|None|||
Rugby|Liberal Democrats |Richard Dickson|None|3,252|6.6|-1.7
Kenilworth and Southam|Liberal Democrats |Jenny Wilkinson|None|||0
Nuneaton|Liberal Democrats |Joy Salaja|None|1,340|3.3|-0.8
Stratford|Liberal Democrats |Manuela Perteghella|None|23,450|44.3|+20
Warwick and Leamington|Liberal Democrats |Louis Adam|None|3,881|7.9|-3.0
North Warwickshire and Bedworth|Liberal Democrats |Guy Burchett|None|||
Meriden and Solihull East|Liberal Democrats |Sunny Virk|None|||0
Solihull West and Shirley|Liberal Democrats |Ade Adeyemo|None|7,916|16.9|+1.2
Aldridge|Liberal Democrats |Ian Garrett|None|1,755|4.3|
Coventry East |Liberal Democrats |Mike Massimi|None|||
Dudley|Liberal Democrats |Ian Flynn |None|1,056||0
Halesowen|Liberal Democrats |Ryan Priest|None|||
Smethwick|Liberal Democrats |Oliver Patrick|None|||
Stourbridge|Liberal Democrats |Chris Bramall|None|||
Wolverhampton North East|Liberal Democrats |Peter Thornton|None|||
Wolverhampton South East|Liberal Democrats |Bart Ricketts|None|||
Droitwich and Evesham|Liberal Democrats |Oliver Walker |None|||
