Falkirk|Scottish National Party|Toni Giugliano|None|13,347|31.3|-20.5
Glasgow East|Scottish National Party|David Linden |None|11,759|33.2|
Glasgow North|Scottish National Party|Alison Thewliss|None|11,116|32.0|-15.6
 Glasgow North East|Scottish National Party|Anne McLaughlin|None|11,002|32.3|-15.5
Glasgow South|Scottish National Party|Stewart McDonald |None|13,542|32.0|-16.3
Kilmarnock and Loudoun|Scottish National Party|Alan Brown |None|13,936|32.8|-18.0
West Aberdeenshire and Kincardine|Scottish National Party|Glen Reynolds|None|13,987|28.6|-12.5
North Ayrshire and Arran|Scottish National Party|Patricia Gibson|None|13,270|31.4|-17.1
 Paisley and Renfrewshire South |Scottish National Party|Jacqueline Cameron|None|13,056|31.6|-18.2
Paisley and Renfrewshire North|Scottish National Party|Gavin Newlands|None|13,228|31.9|-17.0
Livingston|Scottish National Party|Hannah Bardell|None|14,796|33.0|-14.3
 Glasgow South West|Scottish National Party|Chris Stephens|None|12,267|34.4|-12.3
Edinburgh South|Scottish National Party|Simita Kumar|None|7,725|16.5|-8.9
Inverness|Scottish National Party|Drew Hendry|None|||
Angus and Perthshire Glens|Scottish National Party|Dave Doogan|winning|19,142|40.4|
Argyll|Scottish National Party|Brendan O'Hara|winning|15,582|34.7|
West Dunbartonshire|Scottish National Party|Martin Docherty-Hughes|None|13,302|33.6|-16.1
North East Fife|Scottish National Party|Stefan Hoggan-Radu|None|9,905|23.2|-17.8
Aberdeenshire North and Moray East|Scottish National Party|Seamus Logan|winning|13,455|35.2|-7.9
Alloa and Grangemouth|Scottish National Party|John Nicolson|None|11,917|28.9|-23.8
Arbroath and Broughty Ferry|Scottish National Party|Stephen Gethins|winning|15,581|35.3|-15.6
Bathgate and Linlithgow|Scottish National Party|Martyn Day |None|11,451|27.2|
Dundee Central|Scottish National Party|Chris Law|winning|15,544|40.0|
Dunfermline and Dollar|Scottish National Party|Naz Anis Miah|None|12,095|27.2|-17.1
East Kilbride and Strathaven|Scottish National Party|Grant Costello|None|13,625|29.2|-17.8
Gordon and Buchan|Scottish National Party|Richard Thomson |None|13,540||
Inverclyde and Renfrewshire West  |Scottish National Party|Ronnie Cowan |None|12,560|31.1|-16.4
Mid Dunbartonshire |Scottish National Party|Amy Callaghan|None|12,676|24.0|
Moray West|Scottish National Party|Graham Leadbitter|None|||
Perth and Kinross|Scottish National Party|Pete Wishart|winning|18,928|37.8|-7.5
Rutherglen|Scottish National Party|Katy Loudon|None|12,693|29.9|
Stirling and Strathallan|Scottish National Party|Alyn Smith|None|15,462|31.1|-18.7
Airdrie and Shotts|Scottish National Party|Anum Qaisar|None|11,324|30.9|
Central Ayrshire|Scottish National Party|Annie McIndoe|None|||
East Renfrewshire|Scottish National Party|Kirsten Oswald|None|13,514|26.9|-18.0
